Year,Handgun,Other gun,Knife,Blunt object,Other weapon
1976,8651,3328,3343,912,2546
1977,8563,3391,3648,900,2618
1978,8879,3569,3685,937,2490
1979,9858,3732,4121,1039,2710
1980,10552,3834,4439,1153,3061
1981,10324,3740,4364,1166,2927
1982,9137,3501,4383,1032,2957
1983,8472,2794,4214,1098,2731
1984,8183,2835,3956,1090,2626
1985,8165,2973,3996,1051,2794
1986,9054,3126,4235,1176,3018
1987,8781,3094,4076,1169,2980
1988,9375,3162,3978,1296,2869
1989,10225,3197,3923,1279,2877
1990,11677,3395,4077,1254,3037
1991,13101,3277,3909,1252,3161
1992,13158,3043,3447,1088,3024
1993,13981,3094,3140,1082,3233
1994,13496,2840,2960,963,3071
1995,12050,2679,2731,981,3169
1996,10731,2533,2691,917,2777
1997,9705,2631,2363,833,2678
1998,8844,2168,2257,896,2805
1999,7943,2174,2042,902,2461
2000,7985,2218,2099,727,2556
2001,7900,2239,2090,776,3032
2002,8286,2538,2018,773,2588
2003,8830,2223,2085,745,2645
2004,8304,2357,2133,759,2595
2005,8478,2868,2147,671,2528
